CVE BEN,BENEFICIARIO,RFC,FACTURA,CONTRATO,CONCEPTO,TIPO,FDO-#OP,"FECHA
PAGO",IMPORTE,SHEET,Dia,Mes,Año,BENEFICIARIO_SALES,IMPORTE_GATO_PROMEDIO
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1179781-183011-215,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, AGOSTO DEL 2021",TR,1021838.0,2022-03-04,210691.81,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1190248-183011-220,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, SEPTIEMBRE DEL 2021",TR,1021838.0,2022-03-04,88044.01,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1203206-183011-224,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, NOVIEMBRE DEL 2021",TR,1021838.0,2022-03-04,871.71,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1210915-183011-228,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, NOVIEMBRE DEL 2021",TR,1021838.0,2022-03-04,143554.6,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB182281-183011-214,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, SEPTIEMBRE DEL 2021",TR,1021838.0,2022-03-04,871.71,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4384536-183011-221,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, JUNIO DEL 2021",TR,1021838.0,2022-03-04,191849.68,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4390196-183011-219,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, JULIO DEL 2021",TR,1021838.0,2022-03-04,207009.83,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4420087-183011-217,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, AGOSTO DEL 2021",TR,1021838.0,2022-03-04,2063.33,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4478434-183011-216,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, AGOSTO DEL 2021",TR,1021838.0,2022-03-04,32007.52,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4492186-183011-218,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, AGOSTO DEL 2021",TR,1021838.0,2022-03-04,198480.75,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4505052-183011-222,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, SEPTIEMBRE DEL 2021",TR,1021838.0,2022-03-04,22615.22,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4526247-183011-223,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, AGOSTO Y SEPTIEMBRE DEL 2021",TR,1021838.0,2022-03-04,191233.66,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4551908-183011-225,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, OCTUBRE DEL 2021",TR,1021838.0,2022-03-04,10601.54,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4552791-183011-226,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, OCTUBRE DEL 2021",TR,1021838.0,2022-03-04,1301.84,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4564129-183011-227,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, OCTUBRE DEL 2021",TR,1021838.0,2022-03-04,173322.49,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4636557-183011-231,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, NOVIEMBRE DEL 2021",TR,1021838.0,2022-03-04,1301.84,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4636558-183011-230,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, NOVIEMBRE DEL 2021",TR,1021838.0,2022-03-04,148830.33,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4636563-183011-229,SAD-638-2021,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, NOVIEMBRE DEL 2021",TR,1021838.0,2022-03-04,10410.97,GTOS VARIOS,4,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1229014-183011-678,SAD-605-2020,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, DICIEMBRE DEL 2021",TR,1021949.0,2022-03-18,871.71,GTOS VARIOS,18,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1229016-183011-680,SAD-605-2020,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, DICIEMBRE DEL 2021",TR,1021949.0,2022-03-18,83831.4,GTOS VARIOS,18,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4618948-183011-679,SAD-605-2020,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, DICIEMBRE DEL 2021",TR,1021949.0,2022-03-18,8901.39,GTOS VARIOS,18,3,2022,22,440975.94075887394
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ4648582-183011-681,SAD-605-2020,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, DICIEMBRE DEL 2021",TR,1021949.0,2022-03-18,154130.3,GTOS VARIOS,18,3,2022,22,440975.94075887394
